feature,importance_mean,importance_std
bmi,0.060163652024117144,0.01923717221508742
x_conc,0.049931093884582244,0.009415409088137653
gc13,0.008552971576227364,0.00388467774623807
gc21,0.006184323858742435,0.003552133641696401
gc18,0.003893195521102499,0.003252759140925201
x_z,0.0028768303186907707,0.011704294979101951
gc_all,0.0015073212747631181,0.004827387018100827
gc_closeness,-0.0009388458225667639,0.001499277169738535
mapped_ratio,-0.0011455641688200124,0.003036111568585948
repeat_ratio,-0.0032816537467700246,0.0032723490815139357
z18,-0.003850129198966418,0.023947184776355993
age,-0.013023255813953494,0.015544439232461914
z21,-0.01348837209302326,0.0197413390076167
q_score,-0.05568475452196383,0.0328121683754115
z13,-0.05715762273901811,0.0270048903674283
